2026-02-07 17:16:37,382 | INFO | main | ============================================================
2026-02-07 17:16:37,384 | INFO | main |  TRADING BOT STARTING
2026-02-07 17:16:37,385 | INFO | main | ============================================================
2026-02-07 17:16:37,385 | INFO | main | ENTRY POINT: api/server.py
2026-02-07 17:16:37,386 | INFO | main | ENGINE:      Polling Mode (Active)
2026-02-07 17:16:37,387 | INFO | main | HOST:        0.0.0.0
2026-02-07 17:16:37,387 | INFO | main | PORT:        800
2026-02-07 17:16:37,388 | INFO | main | PID:         14644
2026-02-07 17:16:37,388 | INFO | main | PYTHON:      C:\Python314\python.exe
2026-02-07 17:16:37,388 | INFO | main | CWD:         C:\Users\antho\Documents\codes-websites\bot-final
2026-02-07 17:16:37,389 | INFO | main | ============================================================
2026-02-07 17:16:37,441 | INFO | engine |  Engine: Initializing Direct MT5 Connection (Monolith)...
2026-02-07 17:16:45,467 | INFO | engine | [OK] MT5 connected successfully
2026-02-07 17:16:45,468 | INFO | engine |  MT5 Connected. Starting High-Speed Loop.
2026-02-07 17:16:45,469 | INFO | engine | [TIMEOUT] Session started at 2026-02-07 17:16:45.469096
2026-02-07 18:04:34,201 | INFO | main | ============================================================
2026-02-07 18:04:34,203 | INFO | main |  TRADING BOT STARTING
2026-02-07 18:04:34,204 | INFO | main | ============================================================
2026-02-07 18:04:34,204 | INFO | main | ENTRY POINT: api/server.py
2026-02-07 18:04:34,204 | INFO | main | ENGINE:      Polling Mode (Active)
2026-02-07 18:04:34,205 | INFO | main | HOST:        0.0.0.0
2026-02-07 18:04:34,205 | INFO | main | PORT:        800
2026-02-07 18:04:34,205 | INFO | main | PID:         13772
2026-02-07 18:04:34,205 | INFO | main | PYTHON:      C:\Users\antho\Documents\codes-websites\bot-final\.venv\Scripts\python.exe
2026-02-07 18:04:34,205 | INFO | main | CWD:         C:\Users\antho\Documents\codes-websites\bot-final
2026-02-07 18:04:34,206 | INFO | main | ============================================================
2026-02-07 18:04:34,259 | INFO | engine |  Engine: Initializing Direct MT5 Connection (Monolith)...
2026-02-07 18:04:34,281 | INFO | engine | [OK] MT5 connected successfully
2026-02-07 18:04:34,281 | INFO | engine |  MT5 Connected. Starting High-Speed Loop.
2026-02-07 18:04:34,281 | INFO | engine | [TIMEOUT] Session started at 2026-02-07 18:04:34.281730
